259,false
263,false
264,false
265,false
266,false
268,false
269,false
272,false
274,false
284,false
286,false
288,false
289,false
290,false
292,false
293,false
294,false
295,false
296,false
297,false
298,false
299,false
300,false
301,false
2000,false
2001,false
2002,false
2003,false
212,false
2004,false
2005,false
214,false
2006,false
216,false
218,false
1000,false
1001,false
1002,false
1003,false
1004,false
1005,false
1006,false
1007,false
1008,false
1009,false
1010,false
1011,false
1012,false
1013,false
